PWS ID,PWS Name,County,Population Served,Fluoridated,Fluoride Conc.
CO-0101001,Commerce Heights,Adams,105,Yes,0.7
CO-0101015,Belleview College,Adams,372,No,0
CO-0101020,Bennett-Town of,Arapahoe,31,Yes,1.89
CO-0101020,Bennett-Town of,Adams,2479,Yes,1.89
CO-0101025,Brighton-Reverse Osmosis WTP,Adams,44684,Yes,0.7
CO-0101030,Brighton MHP,Adams,62,Yes,0.86
CO-0101031,ESTATES AT BROMLEY,Adams,121,Yes,1.76
CO-0101034,EASTGATE VILLAGE MANUFACTURED HOMES,Adams,1214,Yes,0.7
CO-0101040,CRESTVIEW W&ampSD,Adams,14571,Yes,0.7
CO-0101055,Federal Heights-City of,Adams,9453,No,0.48
CO-0101060,Galambs Mobile Home Park,Adams,105,Yes,1.96
CO-0101063,Great Rock North W&ampSD,Adams,778,Yes,0.62
CO-0101065,Green Acres MHP,Adams,263,Yes,1.33
CO-0101070,Hazeltine Heights W&ampSD,Adams,211,Yes,2.53
CO-0101075,Hi-Land Acres W&ampSD,Adams,283,Yes,1.57
CO-0101080,High Plains WUA,Adams,162,Yes,1.71
CO-0101085,Hillcrest Village MHP,Adams,1218,Yes,0.68
CO-0101095,Lincoln MHP and Motel,Adams,188,Yes,1.95
CO-0101100,Mountian View WUA,Adams,259,Yes,1.39
CO-0101105,North Washington W&ampSD,Adams,11737,Yes,0.7
CO-0101110,N Washington WUA,Adams,73,Yes,1.4
CO-0101115,Northglenn-City of,Adams,39606,No,0.41
CO-0101125,Prairie View Subdivision,Adams,142,Yes,1.76
CO-0101130,Shady Lane MHP,Adams,134,Yes,0.7
CO-0101138,BERKELEY VILLAGE MOBILE HOME PARK,Adams,836,Yes,0.7
CO-0101140,So. Adams County W&ampSD,Adams,54405,Yes,0.7
CO-0101145,Strasburg W&ampSD,Adams,1659,Yes,1.48
CO-0101150,Thornton-City of,Adams,126036,Yes,0.7
CO-0101155,Third Creek Estate,Adams,73,Yes,2.53
CO-0101157,Todd Creek MD,Adams,4718,Yes,0.33
CO-0101158,Tucson Water,Adams,73,Yes,3.1
CO-0101166,CAVANAUGH HILLS WS,Adams,232,Yes,2.4
CO-0101170,Westminster-City of,Adams,156131,No,0.48
CO-0101175,Hope Ditch Co,Adams,51,Yes,2.57
CO-0101180,Wikiup MHP,Adams,2024,Yes,2.35
CO-0101187,Crestwood Estates,Adams,113,No,3.55
CO-0101188,Creekside South Estates Metro District,Adams,130,No,4.01
CO-0101234,EASTERN ADAMS CO METROPOLITAN DISTRICT,Adams,1465,Yes,2.06
CO-0101510,Mile High Water Company,Adams,567,Yes,0.7
CO-0101675,Riverdale Peaks II MD,Adams,169,No,0
CO-0101800,Valley Vista Estates,Adams,41,Yes,1.13
CO-0102100,Alamosa-City of,Alamosa,7763,No,0.5
CO-0102200,East Alamosa W&ampSD,Alamosa,1375,No,0.5
CO-0102300,High Valley Estates MHP,Alamosa,69,Yes,0.81
CO-0102900,Wagon Wheel Trailer Park,Alamosa,130,Yes,2.28
CO-0103005,"Aurora, City of",Arapahoe,358087,Yes,0.68
CO-0103005,"Aurora, City of",Adams,36427,Yes,0.68
CO-0103005,"Aurora, City of",Douglas,0,Yes,0.68
CO-0103010,Byers W&ampSD,Arapahoe,809,Yes,0.83
CO-0103025,Country Gardens MHP,Arapahoe,93,No,0.46
CO-0103030,Deer Trail-Town of,Arapahoe,567,Yes,0.59
CO-0103035,E Cherry Creek Valley W&ampSD,Arapahoe,53531,Yes,0.68
CO-0103040,East Valley,Arapahoe,186,Yes,1.4
CO-0103045,Englewood-City of,Arapahoe,46409,Yes,0.54
CO-0103050,Foxridge Farm MHP,Arapahoe,1166,Yes,2.33
CO-0103055,GLENDALE-CITY OF,Arapahoe,3562,Yes,0.7
CO-0103055,GLENDALE-CITY OF,Denver,0,Yes,0.7
CO-0103075,Ken Caryl Ranch WSD,Jefferson,9714,Yes,0.7
CO-0103079,Stage Run HOA,Arapahoe,121,Yes,1.1
CO-0103081,ROLLING PLAINS ESTATE,Arapahoe,32,No,0.34
CO-0103090,Travois HOA,Arapahoe,142,Yes,1.03
CO-0103100,Willows WD,Arapahoe,15380,Yes,0.7
CO-0103153,Bow Mar W&ampSD,Arapahoe,728,Yes,0.7
CO-0103176,Cherry Creek Village WD,Arapahoe,7459,Yes,0.7
CO-0103186,Country Homes MD,Arapahoe,81,Yes,0.7
CO-0103418,Joint Water Purification Plant,Arapahoe,0,Yes,1.04
CO-0103614,Platte Canyon WSD,Arapahoe,15773,Yes,0.7
CO-0103666,RANGEVIEW JUVENILE MD,Arapahoe,1160,Yes,1.64
CO-0103721,Southgate W&ampSD,Arapahoe,44522,Yes,0.7
CO-0103723,Southwest Metro W&ampSD,Arapahoe,39380,Yes,0.7
CO-0104090,ALPINE LAKES RANCH WATER COMPANY,Archuleta,157,No,0.32
CO-0104121,Aspen Springs MD,Archuleta,235,Yes,2.36
CO-0104300,PAGOSA AREA W+SD,Archuleta,8960,No,0.2
CO-0104393,Crowley Ranch Reserve,Archuleta,35,No,0.22
CO-0104533,NAVAJO RIVER RANCH POA,Archuleta,40,No,0.2
CO-0104700,Piedra Park Metro Imp. Dist.,Archuleta,688,No,0.2
CO-0104900,San Juan River Village MD,Archuleta,710,No,0.11
CO-0105100,Campo-Town of,Baca,121,Yes,1.2
CO-0105300,Pritchett-Town of,Baca,146,Yes,1.2
CO-0105500,Springfield-Town of,Baca,1115,Yes,0.84
CO-0105700,Two Buttes-Town of,Baca,47,Yes,0.81
CO-0105800,Vilas-Town of,Baca,111,Yes,1.44
CO-0105900,Walsh-Town of,Baca,526,Yes,0.85
CO-0106200,Hasty WC,Bent,198,Yes,1.02
CO-0106300,Las Animas RO Plant-Town of,Bent,1951,Yes,0.7
CO-0106500,McClave Water Association,Bent,356,Yes,1.02
CO-0106900,Ft.Lyon VA Medical Center,Bent,243,No,1.5
CO-0107100,A 1 DISCOUNT WC,Boulder,202,Yes,0.7
CO-0107115,Allenspark W&ampSD,Boulder,275,No,0.1
CO-0107135,Baseline Water District,Boulder,664,Yes,0.7
CO-0107152,Boulder,Boulder,134439,Yes,0.7
CO-0107155,Broomfield-City of,Broomfield,85929,Yes,0
CO-0107179,BOULDER MEADOWS MHP,Boulder,1341,Yes,0.7
CO-0107236,East Boulder County Water District,Boulder,243,Yes,0.7
CO-0107246,Eldorado Artesian Springs,Boulder,210,No,0.1
CO-0107321,Grace Mar,Boulder,40,Yes,0.7
CO-0107352,Hoover Hills W&ampSD,Boulder,536,Yes,0.7
CO-0107401,Jamestown-Town of,Boulder,227,Yes,0.25
CO-0107471,LEFT HAND WATER,Boulder,17365,Yes,0.7
CO-0107472,Lefthand W&ampSD/Lake of the Pines,Boulder,202,Yes,0.7
CO-0107473,Lafayette-City of,Boulder,23232,Yes,0.7
CO-0107485,LONGMONT,Boulder,80648,Yes,0.7
CO-0107486,Longs Peak Water District,Boulder,1498,Yes,0.7
CO-0107486,Longs Peak Water District,Weld,1093,Yes,0.7
CO-0107487,LOUISVILLE,Boulder,16979,Yes,0.7
CO-0107489,Lark Meadows WD,Boulder,70,Yes,0.83
CO-0107496,Lyons-Town of,Boulder,2912,Yes,0.7
CO-0107502,Maple Grove WD,Boulder,28,Yes,0.66
CO-0107510,Mile Hi Water Inc Hauler,Boulder,809,Yes,0.7
CO-0107538,Nederland-Town of,Boulder,1948,No,0.12
CO-0107582,Old Stage WD,Boulder,202,No,0.26
CO-0107610,Pine Brook WD,Boulder,890,No,0.2
CO-0107701,San Lazaro MHP,Boulder,683,Yes,0.7
CO-0107702,San Souci MHP,Boulder,121,No,0.55
CO-0107710,Shannon WD,Boulder,364,Yes,1.42
CO-0107719,Spring Valley Mutual Water,Boulder,81,No,0.44
CO-0107725,"Superior, Town of",Boulder,13899,Yes,0.7
CO-0107733,Table Mesa Village MHP,Boulder,61,No,0.19
CO-0107834,Ward-Town of,Boulder,186,No,0.1
CO-0108050,Pinon Pines MHP,Chaffee,81,No,0.19
CO-0108300,Buena Vista-Town of,Chaffee,3057,No,0.1
CO-0108313,Glenview Owners Assoc,Chaffee,36,No,0.16
CO-0108350,Buena Vista Correctional,Chaffee,1376,No,0.1
CO-0108375,CASA DEL RIO SUBDIVISION,Chaffee,59,Yes,1.1
CO-0108415,Game Trail Subdivision,Chaffee,389,No,0.24
CO-0108450,Collegiate Valley MV,Chaffee,73,No,0.5
CO-0108525,Mesa Antero Water Association,Chaffee,202,Yes,1.06
CO-0108600,Mountain Vista Village,Chaffee,81,Yes,1.29
CO-0108650,Poncha Springs-Town of,Chaffee,1188,No,0.62
CO-0108655,Princeton Estates Subdivision,Chaffee,121,No,0.37
CO-0108700,Salida-City of,Chaffee,4857,Yes,0.34
CO-0108800,Eastside MHP,Chaffee,32,No,0.49
CO-0108900,Trails West Association,Chaffee,202,No,0.1
CO-0108925,Ute Heights Community WS,Chaffee,56,Yes,1.14
CO-0108960,Westwinds WD,Chaffee,51,No,0.45
CO-0109001,Arapahoe Water Co.,Cheyenne,79,Yes,0.64
CO-0109006,Cheyenne Wells-Town of,Cheyenne,680,No,0.49
CO-0109011,Kit Carson-Town of,Cheyenne,264,Yes,0.62
CO-0110010,Empire-Town of,Clear Creek,405,No,0.42
CO-0110015,Georgetown-Town of,Clear Creek,1165,No,0.2
CO-0110020,Idaho Springs-City of,Clear Creek,7601,No,0.22
CO-0110025,Lawson Trailer Court,Clear Creek,73,No,0.56
CO-0110026,Lookout Mountian WD,Clear Creek,1115,No,0.2
CO-0110035,Silver Plume-Town of,Clear Creek,146,Yes,0.93
CO-0110040,St. Mary's Glacier W&ampSD,Clear Creek,365,No,0.22
CO-0110045,Valli Hi MHP,Clear Creek,43,No,0.18
CO-0110050,Western Inn,Clear Creek,36,Yes,0.37
CO-0111100,Antonito-Town of,Conejos,794,No,0.1
CO-0111200,Capulin Water District,Conejos,202,No,0.15
CO-0111500,Guadalupe Water Association,Conejos,34,No,0.11
CO-0111600,LaJara-Town of,Conejos,668,No,0.34
CO-0111700,Manassa-Town of,Conejos,783,No,0.34
CO-0111800,Romeo-Town of,Conejos,364,No,0.2
CO-0111900,Sanford-Town of,Conejos,688,No,0.19
CO-0112100,Blanca-Town of,Costilla,381,No,0.25
CO-0112300,Costilla County W&ampS,Costilla,454,Yes,0.56
CO-0112500,Ft. Garland W&ampSD,Costilla,386,No,0.4
CO-0112700,Garcia Domestic Water Users Assn,Costilla,81,Yes,0.67
CO-0112810,Viejo San Acacio,Costilla,36,No,0
CO-0112850,San Acacio Domestic WA,Costilla,32,No,0.46
CO-0112900,San Luis W&ampSD,Costilla,509,No,0.46
CO-0113050,96 Pipeline Co Inc,Crowley,231,Yes,0.92
CO-0113100,Crowley County WA,Crowley,429,Yes,0.92
CO-0113200,Crowley County Water System,Crowley,0,Yes,0.92
CO-0113300,Crowley-Town of,Crowley,152,Yes,0.92
CO-0113500,Olney Springs-Town of,Crowley,323,Yes,0.92
CO-0113700,Ordway-Town of,Crowley,1052,Yes,0.92
CO-0113900,Sugar City-Town of,Crowley,194,Yes,1.3
CO-0114500,Round Mtn W&ampSD,Custer,1578,No,0.3
CO-0114550,TV Hills Subd,Custer,31,No,0.38
CO-0115152,Bone Mesa Water C.C.,Delta,324,No,0.11
CO-0115168,Catherdral Water Company,Delta,162,No,0.1
CO-0115171,Cedaredge-Town of,Delta,1663,No,0.1
CO-0115185,Coalby Domestic Water Co.,Delta,193,No,0.1
CO-0115188,Crawford-Town of,Delta,404,No,0.1
CO-0115189,Crawford Mesa Water Assoc.,Delta,393,No,0.1
CO-0115205,Delta-City of,Delta,7042,No,0.27
CO-0115288,Fruitland Domestic Water Co.,Montrose,271,No,0.1
CO-0115333,Hanson Mesa Domestic Pipeline Co Inc,Delta,202,Yes,0.7
CO-0115340,Hammond Pipeline,Delta,57,No,0.11
CO-0115352,Hotchkiss-Town of,Delta,1659,Yes,0.7
CO-0115467,Lazear Domestic Water,Delta,144,Yes,0.6
CO-0115588,Orchard City-Town of,Delta,2509,No,0.11
CO-0115601,Paonia-Town of,Delta,2023,No,0.11
CO-0115610,Pitkin Mesa Pipeline,Delta,239,No,0.37
CO-0115685,Rogers Mesa Domestic Water,Delta,680,Yes,0.7
CO-0115724,Stewart Mesa WC,Delta,202,No,0.11
CO-0115725,Sunshine Mesa Domestic WC,Delta,62,No,0.36
CO-0115726,Stucker Mesa Domestic WC,Delta,29,No,0.12
CO-0115784,UPPER SURFACE CREEK DOMESTIC WUA,Delta,2186,No,0.1
CO-0116001,DENVER,Arapahoe,141659,Yes,0.7
CO-0116001,DENVER,Adams,33998,Yes,0.7
CO-0116001,DENVER,Denver,683260,Yes,0.7
CO-0116001,DENVER,Jefferson,232321,Yes,0.7
CO-0116001,DENVER,Douglas,11333,Yes,0.7
CO-0116175,Cherry Creek Valley W&ampSD,Denver,16190,Yes,0.7
CO-0116552,North Lincoln W&ampSD,Jefferson,809,Yes,0.7
CO-0116553,North Pecos W&ampSD,Adams,2024,Yes,0.7
CO-0117300,Dove Creek-Town of,Dolores,688,No,0.1
CO-0117700,Rico-Town of,Dolores,311,No,0.07
CO-0118001,Beverly Hills Mutual Inc,Douglas,263,Yes,0.81
CO-0118002,Bell Mountain Ranch WD,Douglas,809,No,0.68
CO-0118005,Castle Pines Village MD,Douglas,4107,Yes,0.8
CO-0118006,Castle Pines North MD,Douglas,7933,Yes,0.8
CO-0118010,Castle Rock-Town of,Douglas,80751,No,1.65
CO-0118015,Centennial W&ampSD,Douglas,83736,Yes,1.06
CO-0118016,Northern Douglas County W&ampSD,Douglas,4986,Yes,1.06
CO-0118020,Cottonwood W&ampS,Douglas,8797,No,0
CO-0118025,Denver SE Suburban W&ampSD,Douglas,10443,No,1.03
CO-0118030,Larkspur-Town of,Douglas,223,Yes,1.21
CO-0118035,Louviers Mutual Service Co.,Douglas,193,Yes,1.36
CO-0118040,Parker W&ampSD,Douglas,48392,Yes,0.9
CO-0118045,Perry Park Water & Sanitation,Douglas,2683,No,1.34
CO-0118055,Roxborough Park WSD,Douglas,8598,Yes,0.68
CO-0118060,Sedalia W&ampSD,Douglas,174,Yes,1.45
CO-0118065,Sierra Vista HOA,Douglas,97,Yes,2.16
CO-0118075,Silver Heights W&ampSD,Douglas,244,Yes,0.6
CO-0118076,Stonegate MD,Douglas,12200,Yes,1.2
CO-0118078,Thunderbird W&ampSD,Douglas,397,Yes,1.34
CO-0118080,View Ridge WD,Douglas,28,Yes,3
CO-0118085,Westcreek Lakes WD,Douglas,134,Yes,3.69
CO-0118175,Chatfield South WD,Douglas,253,Yes,0.7
CO-0118285,Foxhill MD,Douglas,100,Yes,2.32
CO-0119124,Aspen Basalt Trailer Park,Eagle,121,No,0.23
CO-0119125,Aspen Mesa,Eagle,182,Yes,0.39
CO-0119134,Basalt-Town of,Eagle,1720,No,0.1
CO-0119139,Bellyache Ridge MD,Eagle,208,Yes,0.7
CO-0119233,Eagle-Town of,Eagle,5635,Yes,0.7
CO-0119234,Eagle River MHP,Eagle,1214,No,0.11
CO-0119246,El Jebel MHP,Eagle,1588,No,0.18
CO-0119321,Green Acres MHP,Eagle,101,No,0.1
CO-0119329,Gypsum-Town of,Eagle,6285,No,0.1
CO-0119352,Homestead Park,Eagle,24,No,0.1
CO-0119467,Lake Creek Meadows WD,Eagle,329,No,0.2
CO-0119501,Dotsero MHP,Eagle,185,No,0.1
CO-0119508,Mid Valley MD - Phase I,Eagle,3643,No,0.19
CO-0119510,Minturn-Town of,Eagle,971,No,0.2
CO-0119671,"Red Cliff, Town of",Eagle,365,No,0
CO-0119672,Red Table Acres HOA,Eagle,73,No,0.52
CO-0119673,RED SKY RANCH,Eagle,236,No,0
CO-0119692,Ruedi Shores MD,Eagle,134,No,0.24
CO-0119717,Spring Park Meadows,Eagle,31,No,0.3
CO-0119718,Sopris Villiage Homeowners Assn,Eagle,344,No,0.17
CO-0119720,TWO RIVERS VILLAGE,Eagle,621,No,0.36
CO-0119802,Eagle River Water and Sanitation District (ERWSD),Eagle,15664,Yes,0.7
CO-0120001,Agate WUA,Elbert,113,Yes,0.54
CO-0120003,CLEARWATER MD,Elbert,162,Yes,0.66
CO-0120005,Elbert W&ampSD,Elbert,243,No,0.5
CO-0120010,Elizabeth-Town of,Elbert,1162,No,0.46
CO-0120015,Kiowa-Town of,Elbert,510,No,0.47
CO-0120020,Prairie Water Co,Elbert,243,Yes,2.36
CO-0120025,Simla-Town of,Elbert,500,Yes,0.58
CO-0120153,Britanie Ridge WS,Elbert,198,Yes,0.83
CO-0120184,COYOTE HILLS WATER SYSTEM,Elbert,68,No,0.41
CO-0120244,ELKHORN RANCH MD NO 1,Elbert,429,Yes,1.27
CO-0120245,ELBERT COUNTY HWY 86 WATER DISTRICT,Elbert,619,Yes,1.84
CO-0120246,Deer Creek Farm Water Co.,Elbert,641,No,0.31
CO-0120300,Gamble Oaks Home Owners,Elbert,283,Yes,1.46
CO-0120384,Independence WSD,Elbert,459,Yes,1.76
CO-0120717,SPRING VALLEY RANCH WS,Elbert,1156,No,0.42
CO-0121025,Academy W&ampSD,El Paso,607,No,0.35
CO-0121050,Arrowhead MHP,El Paso,109,Yes,0.86
CO-0121060,Bobcat Meadows MD,El Paso,380,No,0
CO-0121075,Calhan-Town of,El Paso,631,No,0.8
CO-0121080,CAMELOT SUBDIVISION,El Paso,49,No,0.36
CO-0121111,4 Way Ranch MD 2,El Paso,117,Yes,1.36
CO-0121125,Cherokee- East CO-SPGS,El Paso,18618,No,0.46
CO-0121140,COLORADO CENTRE METRO DISTRICT,El Paso,2975,No,0.39
CO-0121150,Colorado Springs-City of,El Paso,375690,No,0.39
CO-0121175,Donala WSD,El Paso,5343,No,0.39
CO-0121200,Elephant Rock MHP,El Paso,49,No,0.54
CO-0121220,Peaks Shadow LLC,El Paso,54,No,0.48
